gate,lon,lat
E45,8.5545623,47.4615209
E25,8.5575336,47.4613053
E47,8.5541947,47.4615462
E55,8.5525508,47.4616606
E64,8.5514957,47.4615694
E62,8.5514501,47.4613345
E56,8.5521757,47.4610175
E42,8.5550523,47.4608106
E58,8.551821,47.4610448
E44,8.5546226,47.460841
E35,8.5561806,47.4614043
E53,8.5531166,47.4616241
E19,8.5581655,47.46126
E52,8.5531353,47.4609497
E24,8.5575946,47.4606289
E36,8.5556805,47.4607655
E57,8.5521183,47.4616926
E23,8.5579965,47.4612743
E59,8.5517867,47.4614773
E27,8.5570707,47.4613401
E43,8.5551894,47.4614754
E34,8.5560113,47.4607418
E54,8.5527703,47.4609765
E37,8.5556855,47.4614391
E26,8.5571018,47.4606649
E22,8.557908,47.46081
E46,8.5540269,47.4608864
A72,8.558302,47.4538779
A73,8.5581369,47.4537377
A74,8.5577594,47.4537606
A71,8.5586967,47.4538514
A75,8.5577051,47.453921
D33,8.55949,47.4512154
A82,8.5567419,47.4539887
A81,8.5569853,47.4538191
A86,8.5560889,47.4538765
A83,8.5564458,47.4540105
A85,8.5561175,47.4540322
A84,8.556385,47.4538574
A67,8.5594325,47.4536462
A65,8.5601926,47.453592
A66,8.5595886,47.4537879
A64,8.5602553,47.4537404
A63,8.560454,47.4537246
A62,8.5610821,47.4536789
D35,8.5592626,47.4512332
A52,8.561876,47.4540965
A50,8.5618946,47.4542276
A58,8.5616086,47.4537892
A55,8.5618464,47.4538974
A59,8.5615956,47.453841
A57,8.5618261,47.4537824
A53,8.5618642,47.4540302
A56,8.5618354,47.4538362
A51,8.5618862,47.4541629
A54,8.5618557,47.4539655
B35,8.559261,47.4512044
B33,8.5594848,47.4511876
D51,8.5589917,47.4509043
D57,8.5580269,47.4509732
D58,8.5578591,47.450985
D52,8.558828,47.4509161
D55,8.5583731,47.4509487
D56,8.558206,47.4509605
D54,8.558508,47.4509388
D53,8.558675,47.4509274
D24,8.5602996,47.4500104
D26,8.560107,47.4499535
D23,8.5603368,47.4502687
D21,8.5604011,47.450679
D25,8.5601594,47.4499498
D22,8.5603511,47.4503742
A04,8.5617842,47.4531154
A05,8.5619338,47.4531908
A01,8.5617166,47.4529783
B01,8.5605838,47.4492644
A06,8.5618875,47.4532183
A02,8.5616767,47.4530089
B02,8.5606763,47.4492576
A03,8.5618308,47.4530863
B04,8.5608657,47.4492437
B06,8.561077,47.4492284
B03,8.5607695,47.4492511
B09,8.5613819,47.4492066
B08,8.5612845,47.4492135
B05,8.5609791,47.449235
B07,8.5611792,47.4492209
B10,8.5614754,47.4492002
E67,8.5514967,47.4617131
E18,8.557893,47.4606149
D39,8.5583437,47.451415
D41,8.5576147,47.4514797
D43,8.5574454,47.4514899
D38,8.5582997,47.4507034
D36,8.5590023,47.4506651
D34,8.559255,47.4506431
D31,8.5601579,47.4513111
B31,8.5601521,47.4513429
B39,8.5583402,47.4514526
B41,8.5576314,47.4515111
B43,8.557441,47.4515188
B34,8.5592304,47.4505788
B36,8.5589813,47.4505959
B38,8.5582809,47.450646
